vote_id,vote_date,vote_category,bill_id,impact_tag,reason_code,sponsor_party,source_url,notes
h-119-1-1,2025-01-03,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll001.xml,
h-119-1-3,2025-01-03,PROCEDURAL,hres-5-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll003.xml,
h-119-1-4,2025-01-03,PROCEDURAL,hres-5-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll004.xml,
h-119-1-5,2025-01-03,PASSAGE,hres-5-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll005.xml,
h-119-1-6,2025-01-07,PASSAGE,hr-29-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll006.xml,
h-119-1-7,2025-01-09,PASSAGE,hr-23-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll007.xml,
s-119-1-1,2025-01-09,CLOTURE,s-5-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00001.xml,
h-119-1-8,2025-01-13,SUSPENSION,hr-192-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll008.xml,
h-119-1-9,2025-01-13,SUSPENSION,hr-152-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll009.xml,
s-119-1-2,2025-01-13,PROCEDURAL,s-5-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00002.xml,
h-119-1-10,2025-01-14,SUSPENSION,hr-153-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll010.xml,
h-119-1-11,2025-01-14,MOTION_TO_RECOMMIT,hr-28-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll011.xml,
h-119-1-12,2025-01-14,PASSAGE,hr-28-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll012.xml,
h-119-1-13,2025-01-15,SUSPENSION,hr-164-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll013.xml,
h-119-1-14,2025-01-15,SUSPENSION,hr-144-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll014.xml,
h-119-1-15,2025-01-15,PASSAGE,hr-33-119,TAX_BURDEN,NEAR_UNANIMOUS,,https://clerk.house.gov/evs/2025/roll015.xml,
s-119-1-3,2025-01-15,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00003.xml,
s-119-1-4,2025-01-15,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00004.xml,
h-119-1-16,2025-01-16,MOTION_TO_RECOMMIT,hr-30-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll016.xml,
h-119-1-17,2025-01-16,PASSAGE,hr-30-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll017.xml,
s-119-1-5,2025-01-17,CLOTURE,s-5-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00005.xml,
s-119-1-6,2025-01-20,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00006.xml,
s-119-1-7,2025-01-20,PASSAGE,s-5-119,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00007.xml,
s-119-1-8,2025-01-20,NOMINATION,pn-11-13-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00008.xml,
h-119-1-18,2025-01-21,SUSPENSION,hr-186-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll018.xml,
h-119-1-19,2025-01-21,SUSPENSION,hr-187-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll019.xml,
s-119-1-10,2025-01-21,PROCEDURAL,pn-11-7-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00010.xml,
s-119-1-9,2025-01-21,PROCEDURAL,pn-11-19-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00009.xml,
h-119-1-20,2025-01-22,PROCEDURAL,hres-53-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll020.xml,
h-119-1-21,2025-01-22,PASSAGE,hres-53-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2025/roll021.xml,
h-119-1-22,2025-01-22,SUSPENSION,hr-165-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll022.xml,
h-119-1-23,2025-01-22,PASSAGE,s-5-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll023.xml,
s-119-1-11,2025-01-22,CLOTURE,s-6-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00011.xml,
h-119-1-24,2025-01-23,SUSPENSION,hr-375-119,REGULATORY_BURDEN,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll024.xml,
h-119-1-25,2025-01-23,PASSAGE,hr-471-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll025.xml,
h-119-1-26,2025-01-23,MOTION_TO_RECOMMIT,hr-21-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll026.xml,
h-119-1-27,2025-01-23,PASSAGE,hr-21-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll027.xml,
s-119-1-12,2025-01-23,CLOTURE,pn-11-19-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00012.xml,
s-119-1-13,2025-01-23,NOMINATION,pn-11-19-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00013.xml,
s-119-1-14,2025-01-23,CLOTURE,pn-11-7-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00014.xml,
s-119-1-15,2025-01-24,NOMINATION,pn-11-7-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00015.xml,
s-119-1-16,2025-01-24,CLOTURE,pn-11-11-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00016.xml,
s-119-1-17,2025-01-25,NOMINATION,pn-11-11-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00017.xml,
s-119-1-18,2025-01-25,CLOTURE,pn-11-1-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00018.xml,
s-119-1-19,2025-01-27,NOMINATION,pn-11-1-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00019.xml,
s-119-1-20,2025-01-27,CLOTURE,pn-11-6-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00020.xml,
s-119-1-21,2025-01-28,NOMINATION,pn-11-6-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00021.xml,
s-119-1-22,2025-01-28,CLOTURE,hr-23-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00022.xml,
s-119-1-23,2025-01-29,CLOTURE,pn-11-23-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00023.xml,
s-119-1-24,2025-01-29,NOMINATION,pn-11-23-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00024.xml,
s-119-1-25,2025-01-29,CLOTURE,pn-11-3-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00025.xml,
s-119-1-26,2025-01-30,NOMINATION,pn-11-3-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00026.xml,
s-119-1-27,2025-01-30,CLOTURE,pn-11-15-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00027.xml,
s-119-1-28,2025-01-30,CLOTURE,pn-11-5-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00028.xml,
s-119-1-29,2025-02-03,PROCEDURAL,pn-11-22-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00029.xml,
s-119-1-30,2025-02-03,NOMINATION,pn-11-15-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00030.xml,
s-119-1-31,2025-02-03,CLOTURE,pn-11-2-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00031.xml,
h-119-1-28,2025-02-04,SUSPENSION,hr-43-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll028.xml,
h-119-1-29,2025-02-04,SUSPENSION,hr-776-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll029.xml,
s-119-1-32,2025-02-04,NOMINATION,pn-11-5-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00032.xml,
s-119-1-33,2025-02-04,NOMINATION,pn-11-2-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00033.xml,
s-119-1-34,2025-02-04,CLOTURE,pn-11-14-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00034.xml,
h-119-1-30,2025-02-05,PROCEDURAL,hres-93-119,,PROCEDURAL_CATEGORY,Republican,https://clerk.house.gov/evs/2025/roll030.xml,
h-119-1-31,2025-02-05,PASSAGE,hres-93-119,,RULE_RESOLUTION,Republican,https://clerk.house.gov/evs/2025/roll031.xml,
s-119-1-35,2025-02-05,NOMINATION,pn-11-14-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00035.xml,
s-119-1-36,2025-02-05,CLOTURE,pn-11-22-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00036.xml,
h-119-1-32,2025-02-06,AMENDMENT,hr-27-119,,NO_IMPACT_TAG,Republican,https://clerk.house.gov/evs/2025/roll032.xml,
h-119-1-33,2025-02-06,PASSAGE,hr-27-119,,NO_IMPACT_TAG,Republican,https://clerk.house.gov/evs/2025/roll033.xml,
s-119-1-37,2025-02-06,NOMINATION,pn-11-22-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00037.xml,
s-119-1-38,2025-02-06,PROCEDURAL,pn-11-22-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00038.xml,
s-119-1-39,2025-02-06,PROCEDURAL,pn-11-22-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00039.xml,
s-119-1-40,2025-02-06,PROCEDURAL,pn-11-16-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00040.xml,
s-119-1-41,2025-02-06,PROCEDURAL,pn-11-16-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00041.xml,
s-119-1-42,2025-02-06,PROCEDURAL,pn-11-8-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00042.xml,
s-119-1-43,2025-02-06,PROCEDURAL,pn-11-8-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00043.xml,
s-119-1-44,2025-02-06,PROCEDURAL,pn-11-9-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00044.xml,
s-119-1-45,2025-02-06,PROCEDURAL,pn-11-9-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00045.xml,
s-119-1-46,2025-02-06,PROCEDURAL,pn-11-12-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00046.xml,
s-119-1-47,2025-02-06,PROCEDURAL,pn-11-12-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00047.xml,
s-119-1-48,2025-02-06,PROCEDURAL,pn-11-18-119,ACCESS_TO_CAPITAL,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00048.xml,
h-119-1-34,2025-02-07,MOTION_TO_RECOMMIT,hr-26-119,INPUT_COSTS,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll034.xml,
h-119-1-35,2025-02-07,PASSAGE,hr-26-119,INPUT_COSTS,UNADJUDICATED_DIRECTION,,https://clerk.house.gov/evs/2025/roll035.xml,
h-119-1-36,2025-02-10,SUSPENSION,hr-692-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll036.xml,
h-119-1-37,2025-02-10,SUSPENSION,hr-736-119,REGULATORY_BURDEN,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll037.xml,
s-119-1-49,2025-02-10,CLOTURE,pn-11-16-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00049.xml,
h-119-1-38,2025-02-11,PROCEDURAL,hres-122-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll038.xml,
h-119-1-39,2025-02-11,PASSAGE,hres-122-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2025/roll039.xml,
h-119-1-40,2025-02-12,MOTION_TO_RECOMMIT,hr-77-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll040.xml,
h-119-1-41,2025-02-12,PASSAGE,hr-77-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll041.xml,
s-119-1-50,2025-02-12,NOMINATION,pn-11-16-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00050.xml,
s-119-1-51,2025-02-12,CLOTURE,pn-11-8-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00051.xml,
h-119-1-42,2025-02-13,PASSAGE,hr-35-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll042.xml,
s-119-1-52,2025-02-13,NOMINATION,pn-11-8-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00052.xml,
s-119-1-53,2025-02-13,NOMINATION,pn-11-12-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00053.xml,
s-119-1-54,2025-02-13,CLOTURE,pn-11-9-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00054.xml,
s-119-1-55,2025-02-13,CLOTURE,pn-11-18-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00055.xml,
s-119-1-56,2025-02-18,PROCEDURAL,pn-12-35-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00056.xml,
s-119-1-57,2025-02-18,NOMINATION,pn-11-9-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00057.xml,
s-119-1-58,2025-02-18,PROCEDURAL,sconres-7-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00058.xml,
s-119-1-59,2025-02-19,NOMINATION,pn-11-18-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00059.xml,
s-119-1-60,2025-02-20,CLOTURE,pn-12-35-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00060.xml,
s-119-1-61,2025-02-20,NOMINATION,pn-12-35-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00061.xml,
s-119-1-62,2025-02-20,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00062.xml,
s-119-1-63,2025-02-20,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00063.xml,
s-119-1-64,2025-02-20,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00064.xml,
s-119-1-65,2025-02-20,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00065.xml,
s-119-1-66,2025-02-20,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00066.xml,
s-119-1-67,2025-02-20,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00067.xml,
s-119-1-68,2025-02-20,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00068.xml,
s-119-1-69,2025-02-20,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00069.xml,
s-119-1-70,2025-02-20,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00070.xml,
s-119-1-71,2025-02-20,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00071.xml,
s-119-1-72,2025-02-20,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00072.xml,
s-119-1-73,2025-02-20,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00073.xml,
s-119-1-74,2025-02-20,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00074.xml,
s-119-1-75,2025-02-21,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00075.xml,
s-119-1-76,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00076.xml,
s-119-1-77,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00077.xml,
s-119-1-78,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00078.xml,
s-119-1-79,2025-02-21,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00079.xml,
s-119-1-80,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00080.xml,
s-119-1-81,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00081.xml,
s-119-1-82,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00082.xml,
s-119-1-83,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00083.xml,
s-119-1-84,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00084.xml,
s-119-1-85,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00085.xml,
s-119-1-86,2025-02-21,AMENDMENT,,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00086.xml,
s-119-1-87,2025-02-21,PROCEDURAL,sconres-7-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00087.xml,
h-119-1-43,2025-02-24,SUSPENSION,hr-825-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll043.xml,
h-119-1-44,2025-02-24,SUSPENSION,hr-832-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll044.xml,
h-119-1-45,2025-02-24,SUSPENSION,hr-818-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll045.xml,
s-119-1-88,2025-02-24,CLOTURE,pn-12-12-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00088.xml,
s-119-1-89,2025-02-24,CLOTURE,pn-11-17-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00089.xml,
h-119-1-46,2025-02-25,PROCEDURAL,hres-161-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll046.xml,
h-119-1-47,2025-02-25,PASSAGE,hres-161-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2025/roll047.xml,
h-119-1-48,2025-02-25,SUSPENSION,hr-788-119,ACCESS_TO_CAPITAL,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll048.xml,
h-119-1-49,2025-02-25,SUSPENSION,hr-804-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll049.xml,
h-119-1-50,2025-02-25,PASSAGE,hconres-14-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll050.xml,
s-119-1-90,2025-02-25,NOMINATION,pn-12-12-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00090.xml,
s-119-1-91,2025-02-25,PROCEDURAL,sjres-11-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00091.xml,
s-119-1-92,2025-02-25,PROCEDURAL,sjres-11-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00092.xml,
s-119-1-93,2025-02-25,PROCEDURAL,pn-11-10-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00093.xml,
h-119-1-51,2025-02-26,SUSPENSION,hr-695-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll051.xml,
s-119-1-94,2025-02-26,NOMINATION,pn-11-17-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00094.xml,
s-119-1-95,2025-02-26,PROCEDURAL,sjres-10-119,,PROCEDURAL_CATEGORY,Democrat,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00095.xml,
s-119-1-96,2025-02-26,PROCEDURAL,sjres-12-119,INPUT_COSTS,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00096.xml,
s-119-1-96,2025-02-26,PROCEDURAL,sjres-12-119,REGULATORY_BURDEN,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00096.xml,
h-119-1-53,2025-02-27,PASSAGE,hjres-20-119,INPUT_COSTS,UNADJUDICATED_DIRECTION,,https://clerk.house.gov/evs/2025/roll053.xml,
s-119-1-97,2025-02-27,PROCEDURAL,hjres-35-119,INPUT_COSTS,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00097.xml,
s-119-1-97,2025-02-27,PROCEDURAL,hjres-35-119,REGULATORY_BURDEN,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00097.xml,
s-119-1-98,2025-02-27,CLOTURE,pn-11-10-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00098.xml,
h-119-1-54,2025-03-03,SUSPENSION,hr-856-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll054.xml,
h-119-1-55,2025-03-03,SUSPENSION,hr-758-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll055.xml,
s-119-1-100,2025-03-03,CLOTURE,s-9-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00100.xml,
s-119-1-99,2025-03-03,NOMINATION,pn-11-10-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00099.xml,
h-119-1-56,2025-03-04,PROCEDURAL,hres-177-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll056.xml,
h-119-1-57,2025-03-04,PASSAGE,hres-177-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2025/roll057.xml,
s-119-1-101,2025-03-04,PROCEDURAL,sjres-3-119,TAX_BURDEN,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00101.xml,
s-119-1-102,2025-03-04,PROCEDURAL,sjres-3-119,TAX_BURDEN,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00102.xml,
s-119-1-103,2025-03-04,PROCEDURAL,sjres-28-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00103.xml,
h-119-1-59,2025-03-05,PASSAGE,hjres-42-119,INPUT_COSTS,UNADJUDICATED_DIRECTION,,https://clerk.house.gov/evs/2025/roll059.xml,
h-119-1-60,2025-03-05,PROCEDURAL,hres-189-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll060.xml,
